time,VHMO,VTPK,VPED_cos,VPED_sin,WSPD_41m,WDIR_42m_cos,WDIR_42m_sin
01-Feb-2017 00:30:00,0.76,3.7,-0.146083028562412,0.989272332962988,7.73,-0.843297656495422,0.537446799738661
01-Feb-2017 01:00:00,0.72,3.45,-0.615661475325658,0.788010753606722,7.26,-0.864538064096908,0.502567344469943
01-Feb-2017 01:30:00,0.76,3.45,-0.634730513202268,0.772733573497351,7.55,-0.872496007072797,0.488621241496955
01-Feb-2017 02:00:00,0.75,3.33,-0.724171861437468,0.689619543735669,8.12,-0.89477855466359,0.446510176943524
01-Feb-2017 02:30:00,0.77,3.7,-0.313992455967405,0.949425477641904,7.55,-0.87044162680757,0.492271646878622
01-Feb-2017 03:00:00,0.77,3.33,-0.68961954373567,0.724171861437467,7.25,-0.855002400665697,0.518624039990334
01-Feb-2017 03:30:00,0.81,3.57,-0.724171861437468,0.689619543735669,7.78,-0.870011707369901,0.493031062955784
01-Feb-2017 04:00:00,0.78,3.45,-0.802817475191115,0.596224874965616,8.33,-0.885231311332455,0.465151078077458
01-Feb-2017 04:30:00,0.83,3.23,-0.653420603990106,0.756995055651756,8.27,-0.864801089222098,0.502114604527964
01-Feb-2017 05:00:00,0.87,3.45,-0.802817475191115,0.596224874965616,8.41,-0.808092705754884,0.589055327542116
01-Feb-2017 05:30:00,0.83,3.45,-0.756995055651756,0.653420603990106,8.55,-0.817748088684939,0.575576288125327
01-Feb-2017 06:00:00,0.87,3.7,-0.8703556959399,0.492423560103467,8.72,-0.836859868524955,0.547417172230096
01-Feb-2017 06:30:00,0.84,3.45,-0.802817475191115,0.596224874965616,9.2,-0.871385115775549,0.490599612723892
01-Feb-2017 07:00:00,0.94,3.7,-0.893371388327838,0.449318998615896,9.02,-0.749418134296708,0.662097017050553
01-Feb-2017 07:30:00,1.02,3.85,-0.802817475191115,0.596224874965616,9.48,-0.810450808141024,0.585806698138184
01-Feb-2017 08:00:00,1.08,4.17,-0.756995055651756,0.653420603990106,10.52,-0.771513555043329,0.636212884484749
01-Feb-2017 08:30:00,1.05,4.17,-0.756995055651756,0.653420603990106,10.61,-0.759044098026474,0.651039213297614
01-Feb-2017 09:00:00,1.18,4.55,-0.724171861437468,0.689619543735669,10.03,-0.777914241173052,0.628370458710587
01-Feb-2017 09:30:00,1.22,4.76,-0.724171861437468,0.689619543735669,10.57,-0.824422645251175,0.565974647839508
01-Feb-2017 10:00:00,1.36,5.0,-0.756995055651756,0.653420603990106,11.61,-0.748955720789002,0.662620048215738
01-Feb-2017 10:30:00,1.27,4.76,-0.845261833221856,0.534352349389827,11.06,-0.846007105667842,0.533171620737188
01-Feb-2017 11:00:00,1.32,5.0,-0.74080459628675,0.67172058932299,10.44,-0.820650854984401,0.571429938149352
01-Feb-2017 11:30:00,1.34,5.0,-0.634730513202268,0.772733573497351,10.67,-0.875295776291002,0.483587948575161
01-Feb-2017 12:00:00,1.3,4.76,-0.74080459628675,0.67172058932299,9.6,-0.820052005089719,0.572289008236514
01-Feb-2017 12:30:00,1.38,4.35,-0.831954122130483,0.554844427447999,11.32,-0.846286157694065,0.532728579386742
01-Feb-2017 13:00:00,1.34,4.76,-0.74080459628675,0.67172058932299,10.52,-0.86619988394481,0.499697669650358
01-Feb-2017 13:30:00,1.26,5.0,-0.337095258423082,0.941470544812038,10.68,-0.884987637463042,0.465614520325111
01-Feb-2017 14:00:00,1.35,4.35,-0.845261833221856,0.534352349389827,11.07,-0.717761820252421,0.696288711231147
01-Feb-2017 14:30:00,1.32,4.35,-0.756995055651756,0.653420603990106,11.05,-0.770735698775966,0.637154991059729
01-Feb-2017 15:00:00,1.37,4.35,-0.788010753606722,0.615661475325658,10.21,-0.827570769564099,0.561361399958249
01-Feb-2017 15:30:00,1.35,4.55,-0.707106781186548,0.707106781186548,12.11,-0.779993715468558,0.625787347131239
01-Feb-2017 16:00:00,1.29,4.55,-0.74080459628675,0.67172058932299,10.59,-0.836573126861991,0.547855275973821
01-Feb-2017 16:30:00,1.32,4.17,-0.724171861437468,0.689619543735669,10.72,-0.825606210754552,0.564246741030474
01-Feb-2017 17:00:00,1.3,4.35,-0.845261833221856,0.534352349389827,11.14,-0.842358350935222,0.538917812481359
01-Feb-2017 17:30:00,1.28,4.17,-0.788010753606722,0.615661475325658,9.96,-0.835327930385117,0.549751988371591
01-Feb-2017 18:00:00,1.32,4.35,-0.724171861437468,0.689619543735669,10.92,-0.731115594729864,0.682253609109396
01-Feb-2017 18:30:00,1.24,4.17,-0.534352349389826,0.845261833221856,11.89,-0.652363002903694,0.757906664730213
01-Feb-2017 19:00:00,1.21,4.0,-0.707106781186548,0.707106781186548,10.9,-0.71520497348229,0.698914762976285
01-Feb-2017 19:30:00,1.25,4.35,-0.534352349389826,0.845261833221856,10.97,-0.706242359774127,0.707970147153588
01-Feb-2017 20:00:00,1.26,4.55,-0.405141586779863,0.914253955234264,11.01,-0.73491459514996,0.678159669868071
01-Feb-2017 20:30:00,1.16,4.55,-0.38268343236509,0.923879532511287,12.4,-0.740452782676817,0.672108381606835
01-Feb-2017 21:00:00,1.2,4.76,-0.427357863387192,0.904082549660778,11.69,-0.748724377134086,0.662881442706895
01-Feb-2017 21:30:00,1.18,4.76,-0.556295615500305,0.830984469274328,11.14,-0.7283709698824,0.685182990326359
01-Feb-2017 22:00:00,1.26,4.76,-0.556295615500305,0.830984469274328,10.84,-0.727173991201407,0.686453193247884
