time,VHMO,VTPK,VPED_cos,VPED_sin,WSPD_41m,WDIR_42m_cos,WDIR_42m_sin
28-Nov-2017 02:30:00,5.14,10.0,0.51354125205817,-0.858064905723645,18.88,0.0385622127817988,-0.999256201254399
28-Nov-2017 03:00:00,4.64,10.0,0.405141586779862,-0.914253955234264,14.87,0.0277471734217464,-0.99961497306068
28-Nov-2017 03:30:00,4.54,10.0,0.449318998615896,-0.893371388327838,15.99,-0.0104717841162462,-0.999945169365512
28-Nov-2017 04:00:00,4.21,10.53,0.67172058932299,-0.74080459628675,15.56,-0.0160563391347997,-0.99987108867773
28-Nov-2017 04:30:00,4.2,10.0,0.47101188121941,-0.882126866017668,18.87,0.122562241583007,-0.992460828918778
28-Nov-2017 05:00:00,4.1,10.53,0.51354125205817,-0.858064905723645,17.74,0.0310618635640869,-0.999517463895417
28-Nov-2017 05:30:00,3.8,10.0,0.634730513202267,-0.772733573497351,17.79,-0.046583426760803,-0.998914402915095
28-Nov-2017 06:00:00,4.19,10.0,0.47101188121941,-0.882126866017668,17.29,-0.120310105846879,-0.992736358975087
28-Nov-2017 06:30:00,4.54,10.53,0.51354125205817,-0.858064905723645,18.35,-0.0892419753651605,-0.996009974765777
28-Nov-2017 07:00:00,3.84,10.0,0.556295615500305,-0.830984469274328,12.06,0.703270634186415,-0.710922228581325
28-Nov-2017 07:30:00,3.69,10.0,0.51354125205817,-0.858064905723645,8.61,0.683783356561759,-0.729685083641659
28-Nov-2017 08:00:00,3.59,10.53,0.596224874965616,-0.802817475191114,11.41,0.693024453563198,-0.720914077240437
28-Nov-2017 08:30:00,3.42,10.0,0.51354125205817,-0.858064905723645,10.06,0.493790103568344,-0.86958112538047
28-Nov-2017 09:00:00,3.16,10.0,0.492423560103467,-0.8703556959399,10.01,0.566693876720417,-0.823928425342629
28-Nov-2017 09:30:00,2.77,10.0,0.492423560103467,-0.8703556959399,9.0,0.344642923174517,-0.938733857653874
28-Nov-2017 10:00:00,2.84,10.53,0.47101188121941,-0.882126866017668,7.36,0.301537959944496,-0.953454172319001
28-Nov-2017 10:30:00,2.85,9.09,0.47101188121941,-0.882126866017668,7.03,0.368935795459582,-0.929454882621317
28-Nov-2017 11:00:00,2.81,9.09,0.556295615500305,-0.830984469274328,9.22,-0.411196193780866,-0.911546866716204
28-Nov-2017 11:30:00,2.6,9.09,0.47101188121941,-0.882126866017668,9.44,-0.0312363117968644,-0.999512027354013
28-Nov-2017 12:00:00,2.68,9.09,0.51354125205817,-0.858064905723645,10.13,-0.0949770690839538,-0.995479460535586
28-Nov-2017 12:30:00,2.73,9.09,0.427357863387193,-0.904082549660778,8.51,0.322100468858457,-0.946705491671598
28-Nov-2017 13:00:00,2.52,7.14,0.38268343236509,-0.923879532511287,10.98,0.424357467855122,-0.905494748452794
28-Nov-2017 13:30:00,2.62,7.14,0.492423560103467,-0.8703556959399,10.17,0.0195464427448211,-0.999808950037968
28-Nov-2017 14:00:00,2.62,8.33,0.534352349389827,-0.845261833221856,8.86,-0.0026179908874176,-0.999996573055985
28-Nov-2017 14:30:00,2.53,8.33,0.47101188121941,-0.882126866017668,9.98,0.213712440793994,-0.976896613081381
28-Nov-2017 15:00:00,2.42,7.14,0.51354125205817,-0.858064905723645,11.17,0.157123963403168,-0.987578888051218
28-Nov-2017 15:30:00,2.41,7.69,0.449318998615896,-0.893371388327838,11.7,0.24412280216829,-0.96974432582073
28-Nov-2017 16:00:00,2.4,9.09,0.634730513202267,-0.772733573497351,10.07,0.298707681332486,-0.954344655306965
28-Nov-2017 16:30:00,2.41,8.33,0.534352349389827,-0.845261833221856,9.22,0.500453381281421,-0.865763485695714
28-Nov-2017 17:00:00,2.31,8.33,0.576432316169793,-0.817144898335129,9.13,0.467158405180956,-0.884173639320233
28-Nov-2017 17:30:00,2.19,7.69,0.47101188121941,-0.882126866017668,8.52,0.657638248985527,-0.753333879147387
28-Nov-2017 18:00:00,2.07,9.09,0.634730513202267,-0.772733573497351,7.27,0.76334522806547,-0.645990760607051
28-Nov-2017 18:30:00,2.15,7.69,0.596224874965616,-0.802817475191114,7.75,0.650509141939222,-0.759498424128383
28-Nov-2017 19:00:00,2.06,8.33,0.596224874965616,-0.802817475191114,7.77,0.607930297694605,-0.793990398647835
28-Nov-2017 19:30:00,2.0,7.69,0.634730513202267,-0.772733573497351,6.61,0.818651192576255,-0.574291062870976
28-Nov-2017 20:00:00,1.83,7.14,0.556295615500305,-0.830984469274328,7.62,0.698789925515699,-0.715326946226523
28-Nov-2017 20:30:00,1.85,8.33,0.615661475325658,-0.788010753606722,8.96,0.582974127942904,-0.81249071757726
28-Nov-2017 21:00:00,1.74,7.14,0.576432316169793,-0.817144898335129,6.43,0.439468903432369,-0.898257804261088
28-Nov-2017 21:30:00,1.82,7.14,0.47101188121941,-0.882126866017668,9.34,0.731472721648175,-0.681870704374819
28-Nov-2017 22:00:00,1.64,6.25,0.405141586779862,-0.914253955234264,4.17,0.655531982472857,-0.755167411873159
28-Nov-2017 22:30:00,1.66,8.33,0.756995055651756,-0.653420603990106,5.85,0.79122353296749,-0.611527040185831
28-Nov-2017 23:00:00,1.82,8.33,0.74080459628675,-0.67172058932299,3.24,0.628641963718689,-0.777694851115726
28-Nov-2017 23:30:00,1.64,7.69,0.634730513202267,-0.772733573497351,7.5,0.806031595764854,-0.591872508762456
29-Nov-2017 00:00:00,1.85,6.67,0.615661475325658,-0.788010753606722,5.73,0.748724377134086,-0.662881442706895
29-Nov-2017 00:30:00,1.63,7.69,0.707106781186548,-0.707106781186548,6.01,0.416915457314973,-0.908945268677849
29-Nov-2017 01:00:00,1.73,7.69,0.788010753606722,-0.615661475325658,7.41,0.732899222969209,-0.680337217099822
29-Nov-2017 01:30:00,1.65,8.33,0.941470544812038,-0.337095258423082,6.08,0.614147469589989,-0.789191285808589
29-Nov-2017 02:00:00,1.77,8.33,0.904082549660778,-0.427357863387193,7.26,0.685437198009469,-0.728131751529164
29-Nov-2017 02:30:00,1.68,5.88,0.634730513202267,-0.772733573497351,6.6,0.477312135512674,-0.878733819363026
29-Nov-2017 03:00:00,1.78,8.33,0.941470544812038,-0.337095258423082,6.94,0.618134041882823,-0.786072710546298
